feature_ind,image_id
0,n01447331_2001_fish_09
1,n01496331_11015_ray_17
2,n01496331_1104_ray_01
3,n01496331_11647_ray_19
4,n01496331_12211_ray_20
5,n01496331_15906_ray_23
6,n01496331_17373_ray_24
7,n01496331_18622_ray_25
8,n01496331_20865_ray_26
9,n01496331_20930_ray_27
10,n01496331_21049_ray_28
11,n01496331_21710_ray_29
12,n01496331_21942_ray_30
13,n01496331_22355_ray_31
14,n01496331_2367_ray_03
15,n01496331_5102_ray_06
16,n01496331_6511_ray_07
17,n01496331_7238_ray_09
18,n01496331_8205_ray_10
19,n01498041_10279_ray_13
20,n01498041_10581_ray_14
21,n01498041_10595_ray_15
22,n01498041_10604_ray_16
23,n01498041_11366_ray_18
24,n01498041_12427_ray_21
25,n01498041_12902_ray_22
26,n01498041_2351_ray_02
27,n01498041_3627_ray_04
28,n01498041_4234_ray_05
29,n01498041_7123_ray_08
30,n01498041_892_ray_00
31,n01498041_9044_ray_11
32,n01498041_9542_ray_12
33,n01726692_1320_snake_02
34,n01726692_1321_snake_03
35,n01726692_1338_snake_04
36,n01726692_1517_snake_05
37,n01726692_1963_snake_06
38,n01726692_2164_snake_07
39,n01726692_2433_snake_09
40,n01726692_2440_snake_10
41,n01726692_2557_snake_11
42,n01726692_3481_snake_13
43,n01726692_3539_snake_14
44,n01726692_3583_snake_15
45,n01726692_4092_snake_16
46,n01726692_5470_snake_17
47,n01726692_5764_snake_18
48,n01726692_5765_snake_19
49,n01726692_5767_snake_20
50,n01726692_5910_snake_21
51,n01726692_67_snake_00
52,n01726692_7084_snake_22
53,n01726692_7245_snake_23
54,n01726692_7787_snake_24
55,n01726692_8218_snake_25
56,n01726692_981_snake_01
57,n01729977_13259_snake_28
58,n01748264_13418_snake_29
59,n01748264_19220_snake_30
60,n01748264_19233_snake_31
61,n01748264_3220_snake_12
62,n01752165_11267_snake_27
63,n01752165_2370_snake_08
64,n01752165_9941_snake_26
65,n01770393_1283_scorpion_03
66,n01770393_1301_scorpion_04
67,n01770393_144_scorpion_01
68,n01770393_20014_scorpion_19
69,n01770393_20398_scorpion_20
70,n01770393_20551_scorpion_21
71,n01770393_20567_scorpion_22
72,n01770393_21297_scorpion_23
73,n01770393_21341_scorpion_24
74,n01770393_23704_scorpion_25
75,n01770393_25786_scorpion_26
76,n01770393_26286_scorpion_27
77,n01770393_27092_scorpion_28
78,n01770393_27594_scorpion_29
79,n01770393_2821_scorpion_05
80,n01770393_29339_scorpion_30
81,n01770393_31305_scorpion_31
82,n01770393_3338_scorpion_06
83,n01770393_3860_scorpion_07
84,n01770393_3955_scorpion_08
85,n01770393_4227_scorpion_09
86,n01770393_43_scorpion_00
87,n01770393_4670_scorpion_10
88,n01770393_4779_scorpion_11
89,n01770393_5672_scorpion_12
90,n01770393_5914_scorpion_13
91,n01770393_6365_scorpion_14
92,n01770393_6786_scorpion_15
93,n01770393_7988_scorpion_16
94,n01770393_8432_scorpion_17
95,n01770393_932_scorpion_02
96,n01770393_9764_scorpion_18
97,n01877134_10153_kangaroo_21
98,n01877134_10357_kangaroo_22
99,n01877134_10719_kangaroo_23
100,n01877134_10720_kangaroo_24
101,n01877134_11027_kangaroo_25
102,n01877134_1108_kangaroo_02
103,n01877134_11195_kangaroo_26
104,n01877134_11202_kangaroo_27
105,n01877134_11382_kangaroo_28
106,n01877134_11393_kangaroo_29
107,n01877134_11426_kangaroo_30
108,n01877134_11909_kangaroo_31
109,n01877134_1720_kangaroo_03
110,n01877134_2048_kangaroo_04
111,n01877134_243_kangaroo_00
112,n01877134_3105_kangaroo_05
113,n01877134_3575_kangaroo_06
114,n01877134_389_kangaroo_01
115,n01877134_4465_kangaroo_07
116,n01877134_5855_kangaroo_08
117,n01877134_5931_kangaroo_09
118,n01877134_7832_kangaroo_10
119,n01877134_8285_kangaroo_11
120,n01877134_8478_kangaroo_12
121,n01877134_8490_kangaroo_13
122,n01877134_8560_kangaroo_14
123,n01877134_8793_kangaroo_15
124,n01877134_8916_kangaroo_16
125,n01877134_9114_kangaroo_17
126,n01877134_9131_kangaroo_18
127,n01877134_9259_kangaroo_19
128,n01877134_9443_kangaroo_20
129,n01910747_1153_jellyfish_07
130,n01910747_11589_jellyfish_25
131,n01910747_12939_jellyfish_26
132,n01910747_1305_jellyfish_08
133,n01910747_13178_jellyfish_27
134,n01910747_1320_jellyfish_09
135,n01910747_1444_jellyfish_10
136,n01910747_1522_jellyfish_11
137,n01910747_1541_jellyfish_12
138,n01910747_1585_jellyfish_13
139,n01910747_1590_jellyfish_14
140,n01910747_16089_jellyfish_28
141,n01910747_1642_jellyfish_15
142,n01910747_166_jellyfish_04
143,n01910747_17171_jellyfish_29
144,n01910747_17233_jellyfish_30
145,n01910747_17265_jellyfish_31
146,n01910747_1763_jellyfish_16
147,n01910747_1790_jellyfish_17
148,n01910747_2047_jellyfish_18
149,n01910747_2103_jellyfish_19
150,n01910747_2149_jellyfish_20
151,n01910747_2254_jellyfish_21
152,n01910747_3_jellyfish_00
153,n01910747_40_jellyfish_02
154,n01910747_4476_jellyfish_22
155,n01910747_620_jellyfish_05
156,n01910747_680_jellyfish_06
157,n01910747_7024_jellyfish_23
158,n01910747_83_jellyfish_03
159,n01910747_8_jellyfish_01
160,n01910747_9217_jellyfish_24
161,n02121620_1118_cat_03
162,n02121620_13243_cat_19
163,n02121620_13437_cat_20
164,n02121620_14221_cat_21
165,n02121620_1506_cat_04
166,n02121620_1627_cat_05
167,n02121620_19341_cat_22
168,n02121620_19963_cat_23
169,n02121620_2158_cat_06
170,n02121620_22081_cat_24
171,n02121620_2212_cat_07
172,n02121620_262_cat_01
173,n02121620_26845_cat_25
174,n02121620_27043_cat_26
175,n02121620_2925_cat_08
176,n02121620_29401_cat_27
177,n02121620_31930_cat_28
178,n02121620_32013_cat_29
179,n02121620_32053_cat_30
180,n02121620_3323_cat_09
181,n02121620_33298_cat_31
182,n02121620_4026_cat_10
183,n02121620_4700_cat_11
184,n02121620_4903_cat_12
185,n02121620_5062_cat_13
186,n02121620_5079_cat_14
187,n02121620_51_cat_00
188,n02121620_5319_cat_15
189,n02121620_5361_cat_16
190,n02121620_665_cat_02
191,n02121620_8873_cat_17
192,n02121620_9603_cat_18
193,n02129165_10931_lion_21
194,n02129165_11523_lion_22
195,n02129165_11716_lion_23
196,n02129165_1244_lion_05
197,n02129165_1494_lion_06
198,n02129165_1675_lion_07
199,n02129165_17829_lion_24
200,n02129165_18187_lion_25
201,n02129165_18477_lion_26
202,n02129165_19828_lion_27
203,n02129165_2056_lion_08
204,n02129165_20648_lion_28
205,n02129165_20846_lion_29
206,n02129165_2294_lion_09
207,n02129165_2303_lion_10
208,n02129165_23188_lion_30
209,n02129165_24307_lion_31
210,n02129165_2496_lion_11
211,n02129165_2814_lion_12
212,n02129165_325_lion_00
213,n02129165_4151_lion_13
214,n02129165_4300_lion_14
215,n02129165_5082_lion_15
216,n02129165_5769_lion_16
217,n02129165_6087_lion_17
218,n02129165_678_lion_01
219,n02129165_743_lion_02
220,n02129165_771_lion_03
221,n02129165_8350_lion_18
222,n02129165_9130_lion_19
223,n02129165_9926_lion_20
224,n02129165_992_lion_04
225,n02274259_11032_butterfly_12
226,n02274259_11136_butterfly_13
227,n02274259_13622_butterfly_14
228,n02274259_14493_butterfly_15
229,n02274259_14699_butterfly_16
230,n02274259_14994_butterfly_17
231,n02274259_15293_butterfly_18
232,n02274259_18407_butterfly_19
233,n02274259_19084_butterfly_20
234,n02274259_19407_butterfly_21
235,n02274259_19520_butterfly_22
236,n02274259_19577_butterfly_23
237,n02274259_20043_butterfly_24
238,n02274259_20053_butterfly_25
239,n02274259_21905_butterfly_26
240,n02274259_22285_butterfly_27
241,n02274259_22869_butterfly_28
242,n02274259_23286_butterfly_29
243,n02274259_23851_butterfly_30
244,n02274259_23859_butterfly_31
245,n02274259_4692_butterfly_00
246,n02274259_4768_butterfly_01
247,n02274259_4997_butterfly_02
248,n02274259_5361_butterfly_03
249,n02274259_6447_butterfly_04
250,n02274259_6491_butterfly_05
251,n02274259_6495_butterfly_06
252,n02274259_6688_butterfly_07
253,n02274259_7472_butterfly_08
254,n02274259_7999_butterfly_09
255,n02274259_9773_butterfly_10
256,n02274259_9895_butterfly_11
257,n02355227_10790_squirrel_10
258,n02355227_11696_squirrel_11
259,n02355227_12103_squirrel_12
260,n02355227_12313_squirrel_13
261,n02355227_12333_squirrel_14
262,n02355227_12357_squirrel_15
263,n02355227_12577_squirrel_16
264,n02355227_13042_squirrel_17
265,n02355227_132_squirrel_00
266,n02355227_13315_squirrel_18
267,n02355227_13483_squirrel_19
268,n02355227_13518_squirrel_20
269,n02355227_13651_squirrel_21
270,n02355227_14513_squirrel_22
271,n02355227_14643_squirrel_23
272,n02355227_14716_squirrel_24
273,n02355227_14850_squirrel_25
274,n02355227_15209_squirrel_26
275,n02355227_15398_squirrel_27
276,n02355227_15629_squirrel_28
277,n02355227_15878_squirrel_29
278,n02355227_15897_squirrel_30
279,n02355227_16076_squirrel_31
280,n02355227_2164_squirrel_02
281,n02355227_281_squirrel_01
282,n02355227_3060_squirrel_03
283,n02355227_3079_squirrel_04
284,n02355227_4765_squirrel_05
285,n02355227_5792_squirrel_06
286,n02355227_6434_squirrel_07
287,n02355227_6696_squirrel_08
288,n02355227_7136_squirrel_09
289,n02470325_17362_ape_24
290,n02470325_19170_ape_26
291,n02470325_19477_ape_27
292,n02470325_28072_ape_31
293,n02470325_6919_ape_16
294,n02470325_9404_ape_19
295,n02480495_12444_ape_22
296,n02480495_13679_ape_23
297,n02480495_1469_ape_04
298,n02480495_1517_ape_05
299,n02480495_17522_ape_25
300,n02480495_23421_ape_29
301,n02480495_25770_ape_30
302,n02480495_2977_ape_07
303,n02480495_3329_ape_09
304,n02481500_4621_ape_10
305,n02481500_5522_ape_11
306,n02481500_6248_ape_13
307,n02481823_22051_ape_28
308,n02481823_756_ape_02
309,n02481823_9007_ape_18
310,n02483362_11135_ape_20
311,n02483362_11381_ape_21
312,n02483362_1261_ape_03
313,n02483362_6484_ape_14
314,n02483362_666_ape_01
315,n02483708_2192_ape_06
316,n02483708_3134_ape_08
317,n02483708_6167_ape_12
318,n02483708_6557_ape_15
319,n02483708_655_ape_00
320,n02483708_7231_ape_17
321,n02503517_10036_elephant_29
322,n02503517_10075_elephant_30
323,n02503517_12688_elephant_31
324,n02503517_1583_elephant_06
325,n02503517_1829_elephant_07
326,n02503517_184_elephant_01
327,n02503517_1852_elephant_08
328,n02503517_194_elephant_02
329,n02503517_1963_elephant_09
330,n02503517_2061_elephant_10
331,n02503517_2804_elephant_11
332,n02503517_2925_elephant_12
333,n02503517_2993_elephant_13
334,n02503517_3879_elephant_14
335,n02503517_4605_elephant_15
336,n02503517_564_elephant_03
337,n02503517_5892_elephant_16
338,n02503517_5905_elephant_17
339,n02503517_6043_elephant_18
340,n02503517_6479_elephant_19
341,n02503517_6937_elephant_20
342,n02503517_7211_elephant_21
343,n02503517_753_elephant_04
344,n02503517_7592_elephant_22
345,n02503517_792_elephant_05
346,n02503517_8571_elephant_23
347,n02503517_86_elephant_00
348,n02503517_8901_elephant_24
349,n02503517_8904_elephant_25
350,n02503517_9043_elephant_26
351,n02503517_9237_elephant_27
352,n02503517_9421_elephant_28
353,n02508021_10708_raccoon_22
354,n02508021_1077_raccoon_06
355,n02508021_11237_raccoon_23
356,n02508021_11409_raccoon_24
357,n02508021_11569_raccoon_25
358,n02508021_12465_raccoon_26
359,n02508021_1294_raccoon_07
360,n02508021_12996_raccoon_27
361,n02508021_1306_raccoon_08
362,n02508021_13897_raccoon_28
363,n02508021_1522_raccoon_09
364,n02508021_15766_raccoon_29
365,n02508021_1606_raccoon_10
366,n02508021_16643_raccoon_30
367,n02508021_16707_raccoon_31
368,n02508021_234_raccoon_01
369,n02508021_2437_raccoon_11
370,n02508021_2650_raccoon_12
371,n02508021_3290_raccoon_13
372,n02508021_344_raccoon_02
373,n02508021_3812_raccoon_14
374,n02508021_4383_raccoon_15
375,n02508021_5112_raccoon_16
376,n02508021_546_raccoon_03
377,n02508021_5558_raccoon_17
378,n02508021_580_raccoon_04
379,n02508021_6078_raccoon_18
380,n02508021_6142_raccoon_19
381,n02508021_6246_raccoon_20
382,n02508021_72_raccoon_00
383,n02508021_8575_raccoon_21
384,n02508021_975_raccoon_05
385,n02513560_1911_fish_07
386,n02513560_5604_fish_22
387,n02513560_6999_fish_28
388,n02513560_8353_fish_30
389,n02514041_1715_fish_05
390,n02537525_548_fish_02
391,n02539424_2662_fish_10
392,n02542958_6642_fish_26
393,n02567633_6593_fish_25
394,n02605316_1964_fish_08
395,n02605316_250_fish_00
396,n02605316_3648_fish_13
397,n02605316_3754_fish_14
398,n02605316_777_fish_04
399,n02606052_4099_fish_15
400,n02606052_5120_fish_19
401,n02607072_3296_fish_11
402,n02607072_3422_fish_12
403,n02607072_4784_fish_17
404,n02607072_4957_fish_18
405,n02607072_5238_fish_20
406,n02607072_5431_fish_21
407,n02607072_729_fish_03
408,n02631628_358_fish_01
409,n02641379_8109_fish_29
410,n02643566_1808_fish_06
411,n02643566_5843_fish_23
412,n02655020_17738_fish_31
413,n02655020_4420_fish_16
414,n02655020_5884_fish_24
415,n02655020_6995_fish_27
416,n02691156_10151_airplane_17
417,n02691156_10381_airplane_18
418,n02691156_10433_airplane_19
419,n02691156_10535_airplane_20
420,n02691156_10622_airplane_21
421,n02691156_11016_airplane_22
422,n02691156_11286_airplane_23
423,n02691156_11379_airplane_24
424,n02691156_12022_airplane_25
425,n02691156_12181_airplane_26
426,n02691156_14875_airplane_27
427,n02691156_14912_airplane_28
428,n02691156_1692_airplane_04
429,n02691156_2173_airplane_05
430,n02691156_24584_airplane_29
431,n02691156_2701_airplane_06
432,n02691156_32417_airplane_30
433,n02691156_359_airplane_00
434,n02691156_3791_airplane_07
435,n02691156_4134_airplane_08
436,n02691156_43250_airplane_31
437,n02691156_507_airplane_01
438,n02691156_573_airplane_02
439,n02691156_6382_airplane_09
440,n02691156_6525_airplane_10
441,n02691156_7027_airplane_11
442,n02691156_7473_airplane_12
443,n02691156_7923_airplane_13
444,n02691156_8228_airplane_14
445,n02691156_8876_airplane_15
446,n02691156_987_airplane_03
447,n02691156_9966_airplane_16
448,n02764044_10976_axe_07
449,n02764044_12069_axe_08
450,n02764044_13358_axe_09
451,n02764044_14703_axe_10
452,n02764044_16928_axe_11
453,n02764044_17192_axe_12
454,n02764044_176_axe_00
455,n02764044_1990_axe_01
456,n02764044_20228_axe_13
457,n02764044_20310_axe_14
458,n02764044_21188_axe_15
459,n02764044_21704_axe_16
460,n02764044_25921_axe_17
461,n02764044_29021_axe_18
462,n02764044_29537_axe_19
463,n02764044_30521_axe_20
464,n02764044_31651_axe_21
465,n02764044_3375_axe_02
466,n02764044_35733_axe_22
467,n02764044_40155_axe_23
468,n02764044_40830_axe_24
469,n02764044_41329_axe_25
470,n02764044_41464_axe_26
471,n02764044_42054_axe_27
472,n02764044_42328_axe_28
473,n02764044_42388_axe_29
474,n02764044_55720_axe_30
475,n02764044_6474_axe_03
476,n02764044_67991_axe_31
477,n02764044_7091_axe_04
478,n02764044_8535_axe_05
479,n02764044_9454_axe_06
480,n02770585_1371_saw_02
481,n02770585_1648_saw_03
482,n02770585_3674_saw_06
483,n02770585_4664_saw_08
484,n02770585_5006_saw_09
485,n02770585_8967_saw_15
486,n02850950_10002_blimp_15
487,n02850950_10427_blimp_16
488,n02850950_11805_blimp_17
489,n02850950_12448_blimp_18
490,n02850950_1270_blimp_01
491,n02850950_13395_blimp_19
492,n02850950_13803_blimp_20
493,n02850950_13849_blimp_21
494,n02850950_15323_blimp_22
495,n02850950_16061_blimp_23
496,n02850950_16256_blimp_24
497,n02850950_16365_blimp_25
498,n02850950_1715_blimp_02
499,n02850950_17564_blimp_26
500,n02850950_18396_blimp_27
501,n02850950_19409_blimp_28
502,n02850950_21393_blimp_29
503,n02850950_21444_blimp_30
504,n02850950_22966_blimp_31
505,n02850950_2555_blimp_03
506,n02850950_2667_blimp_04
507,n02850950_3246_blimp_05
508,n02850950_4074_blimp_06
509,n02850950_4461_blimp_07
510,n02850950_4845_blimp_08
511,n02850950_5260_blimp_09
512,n02850950_58_blimp_00
513,n02850950_6376_blimp_10
514,n02850950_8408_blimp_11
515,n02850950_8492_blimp_12
516,n02850950_9240_blimp_13
517,n02850950_9489_blimp_14
518,n02859184_29863_hat_31
519,n02859184_5816_hat_16
520,n02859184_9160_hat_20
521,n02954340_1288_hat_01
